cell,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12,r13,r14,r15,r16,r17,r18,r19,r20,r21,r22,r23,r24,r25,r26,r27,r28,r29,r30,r31,r32,r33,r34,r35,r36,r37,r38,r39,r40,r41,r42,r43,r44,r45,r46,r47,r48,r49,r50,r51,r52,r53,r54,r55,r56,r57,r58,r59,r60,r61,r62,r63,r64,r65,r66,r67,r68,r69,r70
n148,0,2,6,6,6,4,4,1,5,6,6,0,1,0,1,9,3,0,9,6,5,6,0,1,6,2,4,6,7,7,4,0,5,5,1,7,0,0,3,9,6,10,3,4,1,10,8,0,6,6,7,7,6,2,0,0,0,7,0,1,1,1,1,6,5,2,0,1,0,0
n147,0,2,6,6,6,4,0,1,5,6,6,0,1,0,1,0,3,0,9,6,5,6,0,1,6,2,4,6,7,7,4,0,0,5,1,7,2,0,3,9,6,10,3,4,1,10,8,0,6,6,7,7,6,2,0,0,9,7,9,1,1,1,1,6,5,2,0,1,0,7
n150,1,2,6,6,6,4,0,1,5,1,6,0,1,0,1,0,3,0,9,6,5,6,6,1,6,2,4,6,7,7,4,0,8,5,1,7,0,0,3,9,6,10,3,4,1,0,8,6,6,6,7,7,6,2,10,8,0,7,0,1,1,1,1,6,5,2,0,1,0,7
n149,1,2,6,6,6,4,0,1,5,0,6,0,1,0,1,0,3,0,9,6,5,6,0,1,6,2,4,6,7,7,4,0,0,5,1,7,0,2,3,9,6,10,3,4,1,4,8,0,6,6,7,7,6,2,0,8,0,7,6,1,1,1,1,6,5,2,0,1,0,0
n156,0,2,6,0,6,4,2,1,5,9,6,0,1,6,1,3,8,5,9,6,5,6,0,1,6,2,4,6,7,7,4,0,3,0,1,7,0,9,3,9,6,10,3,4,1,3,8,0,8,0,7,7,6,2,10,4,0,4,8,1,1,1,1,6,5,2,10,1,10,6
n155,0,2,6,0,6,4,0,1,5,0,6,0,1,6,1,3,8,5,9,6,5,6,3,1,6,2,4,6,7,7,4,0,3,0,1,7,0,9,3,9,6,10,3,4,1,3,8,0,8,0,7,7,6,2,10,4,0,3,8,1,1,1,1,6,5,2,10,1,10,6
n158,7,2,6,0,6,4,1,1,5,10,6,0,1,3,1,7,8,5,9,6,5,6,0,1,6,2,4,6,7,7,4,1,3,3,1,7,7,8,3,9,6,10,3,4,1,3,8,5,4,0,7,7,6,2,10,4,10,3,8,1,1,1,1,6,5,2,10,1,10,6
n157,0,2,6,0,6,4,1,1,5,10,6,0,1,0,1,0,8,5,9,6,5,6,0,1,6,2,4,6,7,7,4,0,3,1,1,7,7,8,3,9,6,10,3,4,1,3,8,0,4,0,7,7,6,2,10,4,0,3,8,1,1,1,1,6,5,2,10,1,10,6
n162,0,2,6,7,6,4,4,1,5,0,6,0,1,3,1,0,8,5,9,6,5,6,0,1,6,2,4,6,7,7,4,0,3,0,1,7,7,0,3,9,6,10,3,4,1,0,8,0,7,0,7,7,6,2,0,8,0,0,8,1,1,1,1,6,5,2,0,1,10,0
n161,0,2,6,7,6,4,0,1,5,2,6,0,1,3,1,0,8,5,9,6,5,6,0,1,6,2,4,6,7,7,4,0,3,0,1,7,7,0,3,9,6,10,3,4,1,9,8,0,4,0,7,7,6,2,0,8,0,0,8,1,1,1,1,6,5,2,0,1,10,7
